type,subnet,specifics,source,Destinations,Environments,Sources,Status
PolicyType.Reachability,100.0.28.0/24,0,bucharest,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},bucharest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,vaduz,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.28.0/24,0,kiev,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},kiev,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,warsaw,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},warsaw,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,rotterdam,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},rotterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,strasbourg,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},strasbourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,zagreb,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.28.0/24,0,dublin,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},dublin,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.28.0/24,0,ljubljana,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},ljubljana,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.28.0/24,0,roma,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},roma,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,brussels,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},brussels,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,milan,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},milan,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,budapest,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,london,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},london,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,vienna,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,marseille,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},marseille,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,amsterdam,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},amsterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,lisbon,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},lisbon,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.28.0/24,0,zurich,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},zurich,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,athens,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,sofia,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},sofia,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,lyon,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},lyon,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.28.0/24,0,stockholm,{<config2spec.policies.policy.PolicyDestination object at 0x7f0d1e6a5b10>},{9},stockholm,PolicyStatus.HOLDSNOT
